2026-05-11 16:47:06 install openssl-provider-legacy:arm64 <none> 3.5.5-1~deb13u1
2026-05-11 16:47:06 status half-installed openssl-provider-legacy:arm64 3.5.5-1~deb13u1
2026-05-11 16:47:06 status unpacked openssl-provider-legacy:arm64 3.5.5-1~deb13u1
2026-05-11 16:47:07 install passwd:arm64 <none> 1:4.17.4-2
2026-05-11 16:47:07 status half-installed passwd:arm64 1:4.17.4-2
2026-05-11 16:47:10 status unpacked passwd:arm64 1:4.17.4-2
2026-05-11 16:47:10 upgrade perl-base:arm64 5.40.1-6 5.40.1-6
2026-05-11 16:47:10 status half-configured perl-base:arm64 5.40.1-6
2026-05-11 16:47:10 status unpacked perl-base:arm64 5.40.1-6
2026-05-11 16:47:10 status half-installed perl-base:arm64 5.40.1-6
2026-05-11 16:47:16 status unpacked perl-base:arm64 5.40.1-6
2026-05-11 16:47:18 install sed:arm64 <none> 4.9-2+b1
2026-05-11 16:47:18 status half-installed sed:arm64 4.9-2+b1
2026-05-11 16:47:19 status unpacked sed:arm64 4.9-2+b1
2026-05-11 16:47:19 install sqv:arm64 <none> 1.3.0-3+b2
2026-05-11 16:47:19 status half-installed sqv:arm64 1.3.0-3+b2
2026-05-11 16:47:19 status unpacked sqv:arm64 1.3.0-3+b2
2026-05-11 16:47:19 install sysvinit-utils:arm64 <none> 3.14-4
2026-05-11 16:47:19 status half-installed sysvinit-utils:arm64 3.14-4
2026-05-11 16:47:20 status unpacked sysvinit-utils:arm64 3.14-4
2026-05-11 16:47:20 install tar:arm64 <none> 1.35+dfsg-3.1
2026-05-11 16:47:20 status half-installed tar:arm64 1.35+dfsg-3.1
2026-05-11 16:47:20 status unpacked tar:arm64 1.35+dfsg-3.1
2026-05-11 16:47:21 install tzdata:all <none> 2026a-0+deb13u1
2026-05-11 16:47:21 status half-installed tzdata:all 2026a-0+deb13u1
2026-05-11 16:47:24 status unpacked tzdata:all 2026a-0+deb13u1
2026-05-11 16:47:26 install util-linux:arm64 <none> 2.41-5
2026-05-11 16:47:26 status half-installed util-linux:arm64 2.41-5
2026-05-11 16:47:27 status unpacked util-linux:arm64 2.41-5
2026-05-11 16:47:28 install zlib1g:arm64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-05-11 16:47:28 status half-installed zlib1g:arm64 1:1.3.dfsg+really1.3.1-1+b1
2026-05-11 16:47:28 status unpacked zlib1g:arm64 1:1.3.dfsg+really1.3.1-1+b1
2026-05-11 16:47:28 startup packages configure
2026-05-11 16:47:28 configure gcc-14-base:arm64 14.2.0-19 <none>
2026-05-11 16:47:28 status unpacked gcc-14-base:arm64 14.2.0-19
2026-05-11 16:47:28 status half-configured gcc-14-base:arm64 14.2.0-19
2026-05-11 16:47:28 status installed gcc-14-base:arm64 14.2.0-19
2026-05-11 16:47:28 configure login.defs:all 1:4.17.4-2 <none>
2026-05-11 16:47:28 status unpacked login.defs:all 1:4.17.4-2
2026-05-11 16:47:29 status half-configured login.defs:all 1:4.17.4-2
2026-05-11 16:47:29 status installed login.defs:all 1:4.17.4-2
2026-05-11 16:47:29 configure debian-archive-keyring:all 2025.1 <none>
2026-05-11 16:47:29 status unpacked debian-archive-keyring:all 2025.1
2026-05-11 16:47:29 status half-configured debian-archive-keyring:all 2025.1
2026-05-11 16:47:29 status installed debian-archive-keyring:all 2025.1
2026-05-11 16:47:29 configure libaudit-common:all 1:4.0.2-2 <none>
2026-05-11 16:47:29 status unpacked libaudit-common:all 1:4.0.2-2
2026-05-11 16:47:29 status half-configured libaudit-common:all 1:4.0.2-2
2026-05-11 16:47:29 status installed libaudit-common:all 1:4.0.2-2
2026-05-11 16:47:29 configure libsemanage-common:all 3.8.1-1 <none>
2026-05-11 16:47:29 status unpacked libsemanage-common:all 3.8.1-1
2026-05-11 16:47:29 status half-configured libsemanage-common:all 3.8.1-1
2026-05-11 16:47:30 status installed libsemanage-common:all 3.8.1-1
2026-05-11 16:47:30 configure debconf:all 1.5.91 <none>
2026-05-11 16:47:30 status unpacked debconf:all 1.5.91
2026-05-11 16:47:30 status half-configured debconf:all 1.5.91
2026-05-11 16:47:30 status installed debconf:all 1.5.91
2026-05-11 16:47:30 configure tzdata:all 2026a-0+deb13u1 <none>
2026-05-11 16:47:30 status unpacked tzdata:all 2026a-0+deb13u1
2026-05-11 16:47:30 status half-configured tzdata:all 2026a-0+deb13u1
2026-05-11 16:47:31 status installed tzdata:all 2026a-0+deb13u1
2026-05-11 16:47:31 configure ncurses-base:all 6.5+20250216-2 <none>
2026-05-11 16:47:31 status unpacked ncurses-base:all 6.5+20250216-2
2026-05-11 16:47:31 status half-configured ncurses-base:all 6.5+20250216-2
2026-05-11 16:47:31 status installed ncurses-base:all 6.5+20250216-2
2026-05-11 16:47:31 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-05-11 16:47:31 status unpacked init-system-helpers:all 1.69~deb13u1
2026-05-11 16:47:31 status half-configured init-system-helpers:all 1.69~deb13u1
2026-05-11 16:47:31 status installed init-system-helpers:all 1.69~deb13u1
2026-05-11 16:47:32 configure libgcc-s1:arm64 14.2.0-19 <none>
2026-05-11 16:47:32 status unpacked libgcc-s1:arm64 14.2.0-19
2026-05-11 16:47:32 status half-configured libgcc-s1:arm64 14.2.0-19
2026-05-11 16:47:32 status installed libgcc-s1:arm64 14.2.0-19
2026-05-11 16:47:32 configure libc6:arm64 2.41-12+deb13u2 <none>
